"Helység.megnevezése";"IRSZ";"Településrész";"Helység.KSH kódja";"Helység.jogállása";"Megye megnevezése";"Járáskódja";"Járásneve";"Járásszékhelye";"Polgármesteri hivatal, közös önkormányzati hivatal.kódja";"Polgármesteri hivatal, közös önkormányzati hivatal.székhelye";"Terület  (hektár)";"Lakó-népesség";"Lakások száma";"Becsült terület-adatokkal";"Nemzetiségi önkormányzat.bolgár";"Nemzetiségi önkormányzat.görög";"Nemzetiségi önkormányzat.horvát";"Nemzetiségi önkormányzat.lengyel";"Nemzetiségi önkormányzat.német";"Nemzetiségi önkormányzat.örmény";"Nemzetiségi önkormányzat.roma";"Nemzetiségi önkormányzat.román";"Nemzetiségi önkormányzat.ruszin";"Nemzetiségi önkormányzat.szerb";"Nemzetiségi önkormányzat.szlovák";"Nemzetiségi önkormányzat.szlovén";"Nemzetiségi önkormányzat.ukrán"
"Miszla";7065;NA;"02811";"község";"Tolna";"174 0";"Tamási";"Tamási";"6";"Gyönk";3471;248;190;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mocsa";2911;NA;"26930";"község";"Komárom-Esztergom";"112 0";"Komáromi";"Komárom";"2";"Helyben – Locally";6718;2062;824;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mogyoród";2146;NA;"17783";"nagyközség";"Pest";"128 0";"Gödöllõi";"Gödöllõ";"1";"–";3448;7017;2432;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Mogyorósbánya";2535;NA;"28255";"község";"Komárom-Esztergom";"110 0";"Esztergomi";"Esztergom";"6";"Tát";732;830;312;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Mogyoróska";3893;NA;"10968";"község";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"6";"Telkibánya";1917;72;106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Moha";8042;NA;"25715";"község";"Fejér";"085 0";"Székesfehérvári";"Székesfehérvár";"5";"Sárkeresztes";988;592;234;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mohács";7700;NA;"23959";"város";"Baranya";"027 1";"Mohácsi";"Mohács";"1";"–";11223;17089;8433;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;"1";NA;NA;NA
"Mohács";7714;"Újmohács";"23959";"város";"Baranya";"027 1";"Mohácsi";"Mohács";"1";"–";11223;17089;8433;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;"1";NA;NA;NA
"Mohács";7715;"Sárhát";"23959";"város";"Baranya";"027 1";"Mohácsi";"Mohács";"1";"–";11223;17089;8433;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;"1";NA;NA;NA
"Mohora";2698;NA;"27915";"község";"Nógrád";"116 0";"Balassagyarmati";"Balassagyarmat";"5";"Cserhátsurány";1595;973;382;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Molnári";8863;NA;"21014";"község";"Zala";"195 0";"Letenyei";"Letenye";"5";"Semjénháza";1286;686;269;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Molnaszecsõd";9912;NA;"03294";"község";"Vas";"177 0";"Körmendi";"Körmend";"2";"Helyben – Locally";1169;413;180;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Molvány";7981;NA;"29522";"község";"Baranya";"033 0";"Szigetvári";"Szigetvár";"6";"Nagydobsza";1376;175;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Monaj";3812;NA;"09016";"község";"Borsod-Abaúj-Zemplén";"067 0";"Szikszói";"Szikszó";"6";"Homrogd";1153;255;103;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Monok";3905;NA;"07825";"község";"Borsod-Abaúj-Zemplén";"066 0";"Szerencsi";"Szerencs";"5";"Rátka";4196;1495;798;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Monor";2200;NA;"10551";"város";"Pest";"130 1";"Monori";"Monor";"1";"–";4679;18113;6916;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Monorierdõ";2213;NA;"34397";"község";"Pest";"130 0";"Monori";"Monor";"1";"–";1507;4405;1619;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mónosbél";3345;NA;"31565";"község";"Heves";"103 0";"Bélapátfalvai";"Bélapátfalva";"6";"Bélapátfalva";1378;395;146;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Monostorapáti";8296;NA;"24040";"község";"Veszprém";"189 0";"Tapolcai";"Tapolca";"2";"Helyben – Locally";2559;1088;488;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Monostorpályi";4275;NA;"25894";"község";"Hajdú-Bihar";"096 0";"Derecskei";"Derecske";"1";"–";4444;2107;957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Monoszló";8273;NA;"22512";"község";"Veszprém";"185 0";"Balatonfüredi";"Balatonfüred";"6";"Zánka";746;92;59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Monyoród";7751;NA;"16027";"község";"Baranya";"024 0";"Bólyi";"Bóly";"6";"Szederkény";712;147;92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mór";8060;NA;"18485";"város";"Fejér";"082 1";"Móri";"Mór";"1";"–";10861;13885;5719;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Mórágy";7165;NA;"20701";"község";"Tolna";"170 0";"Bonyhádi";"Bonyhád";"5";"Bátaapáti";1761;709;284;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Mórahalom";6782;NA;"04349";"város";"Csongrád";"074 1";"Mórahalmi";"Mórahalom";"1";"–";8314;6203;2741;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Móricgát";6132;NA;"34096";"község";"Bács-Kiskun";"042 0";"Kiskunmajsai";"Kiskunmajsa";"5";"Jászszentlászló";3289;368;321;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mórichida";9131;NA;"02556";"község";"Gyõr-Moson-Sopron";"092 0";"Téti";"Tét";"6";"Gyarmat";3230;821;358;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mosdós";7257;NA;"31343";"község";"Somogy";"143 0";"Kaposvári";"Kaposvár";"5";"Baté";1695;901;339;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Mosonmagyaróvár";9200;NA;"04783";"város";"Gyõr-Moson-Sopron";"089 1";"Mosonmagyaróvári";"Mosonmagyaróvár";"1";"–";8378;33954;15014;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;NA;NA;"1";NA
"Mosonszentmiklós";9154;NA;"33677";"község";"Gyõr-Moson-Sopron";"087 0";"Gyõri";"Gyõr";"1";"–";3071;2457;964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mosonszentmiklós";9183;"Mosonújhely";"33677";"község";"Gyõr-Moson-Sopron";"087 0";"Gyõri";"Gyõr";"1";"–";3071;2457;964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mosonszolnok";9245;NA;"28149";"község";"Gyõr-Moson-Sopron";"089 0";"Mosonmagyaróvári";"Mosonmagyaróvár";"2";"Helyben – Locally";4392;1735;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mosonudvar";9246;NA;"34412";"község";"Gyõr-Moson-Sopron";"089 0";"Mosonmagyaróvári";"Mosonmagyaróvár";"6";"Mosonszolnok";157;419;152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mozsgó";7932;NA;"29540";"község";"Baranya";"033 0";"Szigetvári";"Szigetvár";"2";"Helyben – Locally";2176;981;336;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Mõcsény";7163;NA;"33349";"község";"Tolna";"170 0";"Bonyhádi";"Bonyhád";"6";"Bonyhád";1215;358;140;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mucsfa";7185;NA;"13620";"község";"Tolna";"170 0";"Bonyhádi";"Bonyhád";"6";"Kakasd";1275;298;148;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mucsi";7195;NA;"07029";"község";"Tolna";"174 0";"Tamási";"Tamási";"6";"Szakály";2476;407;211;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Múcsony";3744;NA;"21546";"nagyközség";"Borsod-Abaúj-Zemplén";"058 0";"Kazincbarcikai";"Kazincbarcika";"1";"–";1755;2888;1208;NA;NA;NA;NA;"1";NA;NA;"1";"1";"1";NA;NA;NA;NA
"Muhi";3552;NA;"02158";"község";"Borsod-Abaúj-Zemplén";"068 0";"Tiszaújvárosi";"Tiszaújváros";"6";"Sajóörös";962;459;210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Murakeresztúr";8834;NA;"25210";"község";"Zala";"196 0";"Nagykanizsai";"Nagykanizsa";"2";"Helyben – Locally";1171;1574;695;NA;NA;NA;"1";NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Murarátka";8868;NA;"07968";"község";"Zala";"195 0";"Letenyei";"Letenye";"6";"Letenye";1204;218;127;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Muraszemenye";8872;NA;"33987";"község";"Zala";"195 0";"Letenyei";"Letenye";"6";"Bázakerettye";1615;535;286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Murga";7176;NA;"18917";"község";"Tolna";"170 0";"Bonyhádi";"Bonyhád";"6";"Zomba";659;57;49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Murony";5672;NA;"11989";"község";"Békés";"045 0";"Békési";"Békés";"2";"Helyben – Locally";3570;1095;543;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nábrád";4911;NA;"19211";"község";"Szabolcs-Szatmár-Bereg";"150 0";"Fehérgyarmati";"Fehérgyarmat";"2";"Helyben – Locally";1767;928;365;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nadap";8097;NA;"27599";"község";"Fejér";"080 0";"Gárdonyi";"Gárdony";"5";"Kápolnásnyék";693;672;259;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nádasd";9915;NA;"06716";"község";"Vas";"177 0";"Körmendi";"Körmend";"2";"Helyben – Locally";3560;1300;548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nádasdladány";8145;NA;"13903";"község";"Fejér";"085 0";"Székesfehérvári";"Székesfehérvár";"6";"Úrhida";2635;1729;634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nádudvar";4181;NA;"28103";"város";"Hajdú-Bihar";"100 0";"Hajdúszoboszlói";"Hajdúszoboszló";"1";"–";22591;8472;3723;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nágocs";8674;NA;"15909";"község";"Somogy";"147 0";"Tabi";"Tab";"6";"Andocs";2226;634;258;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagyacsád";8521;NA;"23551";"község";"Veszprém";"187 0";"Pápai";"Pápa";"6";"Nemesgörzsöny";1396;622;255;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagyalásony";8484;NA;"27979";"község";"Veszprém";"186 0";"Devecseri";"Devecser";"6";"Tüskevár";1401;420;214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagyar";4922;NA;"04710";"község";"Szabolcs-Szatmár-Bereg";"150 0";"Fehérgyarmati";"Fehérgyarmat";"5";"Túristvándi";1599;657;278;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagyatád";7500;NA;"17941";"város";"Somogy";"145 1";"Nagyatádi";"Nagyatád";"1";"–";7060;10014;5016;NA;NA;NA;"1";NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagybajcs";9063;NA;"02361";"község";"Gyõr-Moson-Sopron";"087 0";"Gyõri";"Gyõr";"6";"Kisbajcs";765;996;385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagybajom";7561;NA;"21652";"város";"Somogy";"143 0";"Kaposvári";"Kaposvár";"2";"Helyben – Locally";10806;3374;1132;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagybakónak";8821;NA;"12760";"község";"Zala";"196 0";"Nagykanizsai";"Nagykanizsa";"6";"Nagyrécse";1794;362;216;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagybánhegyes";5668;NA;"26028";"község";"Békés";"049 0";"Mezõkovácsházai";"Mezõkovácsháza";"5";"Kaszaper";4224;1162;788;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Nagybaracska";6527;NA;"25955";"község";"Bács-Kiskun";"035 0";"Bajai";"Baja";"2";"Helyben – Locally";3795;2245;1017;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagybarca";3641;NA;"29188";"község";"Borsod-Abaúj-Zemplén";"058 0";"Kazincbarcikai";"Kazincbarcika";"5";"Mályinka";1439;962;355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagybárkány";3075;NA;"16391";"község";"Nógrád";"120 0";"Salgótarjáni";"Salgótarján";"5";"Lucfalva";884;657;239;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagyberény";8656;NA;"29063";"község";"Somogy";"146 0";"Siófoki";"Siófok";"6";"Ádánd";2314;1261;597;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagyberki";7255;NA;"21449";"község";"Somogy";"143 0";"Kaposvári";"Kaposvár";"2";"Helyben – Locally";2174;1441;518;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagybörzsöny";2634;NA;"14775";"község";"Pest";"137 0";"Szobi";"Szob";"6";"Kemence";5066;659;353;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Nagybudmér";7756;NA;"03984";"község";"Baranya";"024 0";"Bólyi";"Bóly";"6";"Bóly";1022;148;83;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Nagycenk";9485;NA;"02495";"nagyközség";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"2";"Helyben – Locally";1945;2251;842;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagycsány";7838;NA;"18111";"község";"Baranya";"030 0";"Sellyei";"Sellye";"6";"Csányoszró";565;127;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagycsécs";3598;NA;"05582";"község";"Borsod-Abaúj-Zemplén";"068 0";"Tiszaújvárosi";"Tiszaújváros";"5";"Sajóörös";983;748;286;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagycsepely";8628;NA;"20598";"község";"Somogy";"146 0";"Siófoki";"Siófok";"6";"Balatonszárszó";1980;359;183;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagycserkesz";4445;NA;"22743";"község";"Szabolcs-Szatmár-Bereg";"157 0";"Nyíregyházi";"Nyíregyháza";"6";"Kálmánháza";4147;1651;634;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagydém";8554;NA;"10001";"község";"Veszprém";"187 0";"Pápai";"Pápa";"6";"Csót";1332;329;157;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagydobos";4823;NA;"21485";"község";"Szabolcs-Szatmár-Bereg";"154 0";"Mátészalkai";"Mátészalka";"1";"–";2693;2294;745;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagydobsza";7985;NA;"33899";"község";"Baranya";"033 0";"Szigetvári";"Szigetvár";"2";"Helyben – Locally";1323;601;227;NA;NA;NA;"1";NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagydorog";7044;NA;"18388";"nagyközség";"Tolna";"172 0";"Paksi";"Paks";"2";"Helyben – Locally";4144;2506;1081;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagyecsed";4355;NA;"06488";"város";"Szabolcs-Szatmár-Bereg";"154 0";"Mátészalkai";"Mátészalka";"1";"–";4385;6171;2380;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagyér";6917;NA;"20914";"község";"Csongrád";"073 0";"Makói";"Makó";"6";"Csanádalberti";1229;501;258;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagyesztergár";8415;NA;"23180";"község";"Veszprém";"192 0";"Zirci";"Zirc";"6";"Dudar";1829;1098;401;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Nagyfüged";3282;NA;"26879";"község";"Heves";"106 0";"Gyöngyösi";"Gyöngyös";"2";"Helyben – Locally";2751;1682;711;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagygeresd";9664;NA;"09283";"község";"Vas";"179 0";"Sárvári";"Sárvár";"6";"Uraiújfalu";940;273;141;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagygörbõ";8356;NA;"05218";"község";"Zala";"198 0";"Zalaszentgróti";"Zalaszentgrót";"6";"Óhíd";745;139;102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagygyimót";8551;NA;"08262";"község";"Veszprém";"187 0";"Pápai";"Pápa";"6";"Csót";2344;557;246;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagyhajmás";7343;NA;"12858";"község";"Baranya";"025 0";"Hegyháti";"Sásd";"5";"Mágocs";1801;278;144;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Nagyhalász";4485;NA;"27155";"város";"Szabolcs-Szatmár-Bereg";"151 0";"Ibrányi";"Ibrány";"1";"–";4430;5509;1993;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagyharsány";7822;NA;"02653";"község";"Baranya";"031 0";"Siklósi";"Siklós";"2";"Helyben – Locally";2601;1399;516;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagyhegyes";4064;NA;"09478";"község";"Hajdú-Bihar";"100 0";"Hajdúszoboszlói";"Hajdúszoboszló";"1";"–";13277;2724;1059;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagyhódos";4977;NA;"26976";"község";"Szabolcs-Szatmár-Bereg";"150 0";"Fehérgyarmati";"Fehérgyarmat";"6";"Méhtelek";766;125;85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagyhuta";3994;NA;"15468";"község";"Borsod-Abaúj-Zemplén";"065 0";"Sátoraljaújhelyi";"Sátoraljaújhely";"6";"Kishuta";3506;53;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagyigmánd";2942;NA;"22372";"nagyközség";"Komárom-Esztergom";"112 0";"Komáromi";"Komárom";"2";"Helyben – Locally";5135;2834;1171;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagyiván";5363;NA;"21689";"község";"Jász-Nagykun-Szolnok";"168 0";"Tiszafüredi";"Tiszafüred";"6";"Tiszaigar";4316;1135;506;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagykálló";4320;NA;"24785";"város";"Szabolcs-Szatmár-Bereg";"155 1";"Nagykállói";"Nagykálló";"1";"–";6852;9176;3642;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagykamarás";5751;NA;"04242";"község";"Békés";"049 0";"Mezõkovácsházai";"Mezõkovácsháza";"2";"Helyben – Locally";4310;1255;840;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagykanizsa";8800;NA;"30933";"megyei jogú város";"Zala";"196 1";"Nagykanizsai";"Nagykanizsa";"1";"–";14840;46649;22486;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Nagykanizsa";8808;"Palin";"30933";"megyei jogú város";"Zala";"196 1";"Nagykanizsai";"Nagykanizsa";"1";"–";14840;46649;22486;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Nagykanizsa";8809;"Sánc";"30933";"megyei jogú város";"Zala";"196 1";"Nagykanizsai";"Nagykanizsa";"1";"–";14840;46649;22486;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Nagykanizsa";8831;"Miklósfa";"30933";"megyei jogú város";"Zala";"196 1";"Nagykanizsai";"Nagykanizsa";"1";"–";14840;46649;22486;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Nagykapornak";8935;NA;"20589";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"2";"Helyben – Locally";2441;864;368;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagykarácsony";2425;NA;"07001";"község";"Fejér";"078 0";"Dunaújvárosi";"Dunaújváros";"2";"Helyben – Locally";3046;1283;587;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagykáta";2760;NA;"13435";"város";"Pest";"131 1";"Nagykátai";"Nagykáta";"1";"–";8161;12366;5077;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagykereki";4127;NA;"08907";"község";"Hajdú-Bihar";"094 0";"Berettyóújfalui";"Berettyóújfalu";"6";"Biharkeresztes";3727;1330;503;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagykeresztúr";3129;NA;"34281";"község";"Nógrád";"120 0";"Salgótarjáni";"Salgótarján";"6";"Lucfalva";820;251;100;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagykinizs";3844;NA;"26505";"község";"Borsod-Abaúj-Zemplén";"067 0";"Szikszói";"Szikszó";"5";"Szikszó";658;306;127;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagykónyi";7092;NA;"27182";"község";"Tolna";"174 0";"Tamási";"Tamási";"2";"Helyben – Locally";4788;1042;519;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagykorpád";7545;NA;"32805";"község";"Somogy";"145 0";"Nagyatádi";"Nagyatád";"5";"Lábod";3342;530;218;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagykovácsi";2094;NA;"09991";"nagyközség";"Pest";"123 0";"Budakeszi";"Budakeszi";"1";"–";2767;8138;2777;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Nagykozár";7741;NA;"10940";"község";"Baranya";"028 0";"Pécsi";"Pécs";"2";"Helyben – Locally";1146;1995;663;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Nagykökényes";3012;NA;"24943";"község";"Heves";"107 0";"Hatvani";"Hatvan";"6";"Heréd";1728;576;264;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagykölked";9784;NA;"32920";"község";"Vas";"177 0";"Körmendi";"Körmend";"5";"Vasalja";978;156;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagykõrös";2750;NA;"19716";"város";"Pest";"132 1";"Nagykõrösi";"Nagykõrös";"1";"–";22794;23517;10546;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagykörû";5065;NA;"15574";"község";"Jász-Nagykun-Szolnok";"167 0";"Szolnoki";"Szolnok";"2";"Helyben – Locally";4281;1510;908;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagykutas";8911;NA;"22178";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"5";"Zalaszentiván";845;415;185;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagylak";6933;NA;"12779";"község";"Csongrád";"073 0";"Makói";"Makó";"5";"Magyarcsanád";469;392;300;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA
"Nagylengyel";8983;NA;"04455";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"6";"Gellénháza";1024;452;206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagylóc";3175;NA;"21102";"község";"Nógrád";"121 0";"Szécsényi";"Szécsény";"2";"Helyben – Locally";3912;1496;696;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Nagylók";2435;NA;"32364";"község";"Fejér";"084 0";"Sárbogárdi";"Sárbogárd";"2";"Helyben – Locally";3244;1079;463;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagylózs";9482;NA;"32939";"község";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"6";"Sopronkövesd";1924;1059;297;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagymágocs";6622;NA;"17233";"nagyközség";"Csongrád";"076 0";"Szentesi";"Szentes";"2";"Helyben – Locally";7509;2894;1235;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagymányok";7355;NA;"14030";"város";"Tolna";"170 0";"Bonyhádi";"Bonyhád";"1";"–";1068;2207;919;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Nagymaros";2626;NA;"31732";"város";"Pest";"137 0";"Szobi";"Szob";"1";"–";3437;4905;2022;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Nagymizdó";9913;NA;"15060";"község";"Vas";"177 0";"Körmendi";"Körmend";"6";"Molnaszecsõd";676;98;78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nagynyárád";7784;NA;"14650";"község";"Baranya";"027 0";"Mohácsi";"Mohács";"2";"Helyben – Locally";2434;694;323;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Nagyoroszi";2645;NA;"23986";"község";"Nógrád";"119 0";"Rétsági";"Rétság";"2";"Helyben – Locally";4003;2073;838;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
